,user_id,sequence_movie_ids,sequence_ratings,sex,age_group,occupation
0,210,"1599,1556,1562,546,502,2720,181,2358","5,3,4,4,5,4,4,5",0,0,10
1,210,"1599,1556,1562,546,502,2720,181,1342","5,3,4,4,5,4,4,5",0,0,10
2,210,"1599,1556,1562,546,502,2720,181,2550","5,3,4,4,5,4,4,5",0,0,10
3,210,"1599,1556,1562,546,502,2720,181,966","5,3,4,4,5,4,4,5",0,0,10
4,210,"1599,1556,1562,546,502,2720,181,3721","5,3,4,4,5,4,4,5",0,0,10
5,210,"1599,1556,1562,546,502,2720,181,156","5,3,4,4,5,4,4,5",0,0,10
6,210,"1599,1556,1562,546,502,2720,181,956","5,3,4,4,5,4,4,5",0,0,10
7,210,"1599,1556,1562,546,502,2720,181,1826","5,3,4,4,5,4,4,5",0,0,10
8,210,"1599,1556,1562,546,502,2720,181,2893","5,3,4,4,5,4,4,5",0,0,10
9,210,"1599,1556,1562,546,502,2720,181,2966","5,3,4,4,5,4,4,5",0,0,10
10,210,"1599,1556,1562,546,502,2720,181,155","5,3,4,4,5,4,4,5",0,0,10
11,210,"1599,1556,1562,546,502,2720,181,2988","5,3,4,4,5,4,4,5",0,0,10
12,210,"1599,1556,1562,546,502,2720,181,877","5,3,4,4,5,4,4,5",0,0,10
13,210,"1599,1556,1562,546,502,2720,181,596","5,3,4,4,5,4,4,5",0,0,10
14,210,"1599,1556,1562,546,502,2720,181,3186","5,3,4,4,5,4,4,5",0,0,10
15,210,"1599,1556,1562,546,502,2720,181,2686","5,3,4,4,5,4,4,5",0,0,10
16,210,"1599,1556,1562,546,502,2720,181,3810","5,3,4,4,5,4,4,5",0,0,10
17,210,"1599,1556,1562,546,502,2720,181,2293","5,3,4,4,5,4,4,5",0,0,10
18,210,"1599,1556,1562,546,502,2720,181,118","5,3,4,4,5,4,4,5",0,0,10
19,210,"1599,1556,1562,546,502,2720,181,1149","5,3,4,4,5,4,4,5",0,0,10
20,210,"1599,1556,1562,546,502,2720,181,3307","5,3,4,4,5,4,4,5",0,0,10
21,210,"1599,1556,1562,546,502,2720,181,350","5,3,4,4,5,4,4,5",0,0,10
22,210,"1599,1556,1562,546,502,2720,181,788","5,3,4,4,5,4,4,5",0,0,10
23,210,"1599,1556,1562,546,502,2720,181,1382","5,3,4,4,5,4,4,5",0,0,10
24,210,"1599,1556,1562,546,502,2720,181,128","5,3,4,4,5,4,4,5",0,0,10
25,210,"1599,1556,1562,546,502,2720,181,1597","5,3,4,4,5,4,4,5",0,0,10
26,210,"1599,1556,1562,546,502,2720,181,1098","5,3,4,4,5,4,4,5",0,0,10
27,210,"1599,1556,1562,546,502,2720,181,178","5,3,4,4,5,4,4,5",0,0,10
28,210,"1599,1556,1562,546,502,2720,181,3184","5,3,4,4,5,4,4,5",0,0,10
29,210,"1599,1556,1562,546,502,2720,181,426","5,3,4,4,5,4,4,5",0,0,10
