movie_id,title,genres,year,model_ratings
1,Toy Story (1995),Animation|Children's|Comedy,75,4.144306182861328
2,Jumanji (1995),Adventure|Children's|Fantasy,75,3.136232852935791
3,Grumpier Old Men (1995),Comedy|Romance,75,3.347160816192627
4,Waiting to Exhale (1995),Comedy|Drama,75,3.3302218914031982
5,Father of the Bride Part II (1995),Comedy,75,3.086463212966919
6,Heat (1995),Action|Crime|Thriller,75,3.8528409004211426
7,Sabrina (1995),Comedy|Romance,75,3.6107513904571533
8,Tom and Huck (1995),Adventure|Children's,75,2.9408485889434814
9,Sudden Death (1995),Action,75,2.6884284019470215
10,GoldenEye (1995),Action|Adventure|Thriller,75,3.750188112258911
11,"American President, The (1995)",Comedy|Drama|Romance,75,3.7747910022735596
12,Dracula: Dead and Loving It (1995),Comedy|Horror,75,2.8375167846679688
13,Balto (1995),Animation|Children's,75,3.219574213027954
14,Nixon (1995),Drama,75,3.6610066890716553
15,Cutthroat Island (1995),Action|Adventure|Romance,75,2.943984270095825
16,Casino (1995),Drama|Thriller,75,3.8529608249664307
17,Sense and Sensibility (1995),Drama|Romance,75,4.017897129058838
18,Four Rooms (1995),Thriller,75,3.5026140213012695
19,Ace Ventura: When Nature Calls (1995),Comedy,75,2.560731887817383
20,Money Train (1995),Action,75,2.9090988636016846
21,Get Shorty (1995),Action|Comedy|Drama,75,3.503138303756714
22,Copycat (1995),Crime|Drama|Thriller,75,3.209064483642578
23,Assassins (1995),Thriller,75,3.0508503913879395
24,Powder (1995),Drama|Sci-Fi,75,3.2208340167999268
25,Leaving Las Vegas (1995),Drama|Romance,75,3.570915937423706
26,Othello (1995),Drama,75,3.5890119075775146
27,Now and Then (1995),Drama,75,3.2386090755462646
28,Persuasion (1995),Romance,75,4.097945690155029
29,"City of Lost Children, The (1995)",Adventure|Sci-Fi,75,3.92508864402771
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,75,3.7487170696258545
31,Dangerous Minds (1995),Drama,75,3.403801441192627
32,Twelve Monkeys (1995),Drama|Sci-Fi,75,4.080223083496094
33,Wings of Courage (1995),Adventure|Romance,75,3.475508451461792
34,Babe (1995),Children's|Comedy|Drama,75,3.874255418777466
35,Carrington (1995),Drama|Romance,75,3.3769757747650146
36,Dead Man Walking (1995),Drama,75,3.9568774700164795
37,Across the Sea of Time (1995),Documentary,75,3.072049140930176
38,It Takes Two (1995),Comedy,75,3.3575000762939453
39,Clueless (1995),Comedy|Romance,75,3.4691641330718994
40,"Cry, the Beloved Country (1995)",Drama,75,3.9524519443511963
41,Richard III (1995),Drama|War,75,4.015048027038574
42,Dead Presidents (1995),Action|Crime|Drama,75,3.2462174892425537
43,Restoration (1995),Drama,75,3.6798365116119385
44,Mortal Kombat (1995),Action|Adventure,75,3.053748369216919
45,To Die For (1995),Comedy|Drama,75,3.5374250411987305
46,How to Make an American Quilt (1995),Drama|Romance,75,3.1313047409057617
47,Seven (Se7en) (1995),Crime|Thriller,75,4.013765811920166
48,Pocahontas (1995),Animation|Children's|Musical|Romance,75,3.0794577598571777
49,When Night Is Falling (1995),Drama|Romance,75,3.710707426071167
50,"Usual Suspects, The (1995)",Crime|Thriller,75,4.54564905166626
52,Mighty Aphrodite (1995),Comedy,75,3.713366746902466
53,Lamerica (1994),Drama,74,3.8778111934661865
54,"Big Green, The (1995)",Children's|Comedy,75,3.0415852069854736
55,Georgia (1995),Drama,75,3.2046587467193604
56,Kids of the Round Table (1995),Adventure|Children's|Fantasy,75,3.2712671756744385
57,Home for the Holidays (1995),Drama,75,3.633552074432373
58,"Postino, Il (The Postman) (1994)",Drama|Romance,74,3.982083559036255
59,"Confessional, The (Le Confessionnal) (1995)",Drama|Mystery,75,3.4060516357421875
60,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy,75,3.2693216800689697
61,Eye for an Eye (1996),Drama|Thriller,76,3.0048983097076416
62,Mr. Holland's Opus (1995),Drama,75,3.3704869747161865
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy,76,3.1010007858276367
64,Two if by Sea (1996),Comedy|Romance,76,2.8240692615509033
65,Bio-Dome (1996),Comedy,76,2.689556360244751
