movie_id,title,genres,year,model_ratings
1,Toy Story (1995),Animation|Children's|Comedy,75,4.005399227142334
2,Jumanji (1995),Adventure|Children's|Fantasy,75,3.3269975185394287
3,Grumpier Old Men (1995),Comedy|Romance,75,3.1880381107330322
4,Waiting to Exhale (1995),Comedy|Drama,75,3.287043809890747
5,Father of the Bride Part II (1995),Comedy,75,2.962531328201294
6,Heat (1995),Action|Crime|Thriller,75,3.8126332759857178
7,Sabrina (1995),Comedy|Romance,75,3.566317081451416
8,Tom and Huck (1995),Adventure|Children's,75,2.884810209274292
9,Sudden Death (1995),Action,75,2.9575016498565674
10,GoldenEye (1995),Action|Adventure|Thriller,75,3.647649049758911
11,"American President, The (1995)",Comedy|Drama|Romance,75,3.6228742599487305
12,Dracula: Dead and Loving It (1995),Comedy|Horror,75,2.8158771991729736
13,Balto (1995),Animation|Children's,75,3.2146010398864746
14,Nixon (1995),Drama,75,3.699978828430176
15,Cutthroat Island (1995),Action|Adventure|Romance,75,2.987680673599243
16,Casino (1995),Drama|Thriller,75,3.8541100025177
17,Sense and Sensibility (1995),Drama|Romance,75,4.0123748779296875
18,Four Rooms (1995),Thriller,75,3.53985857963562
19,Ace Ventura: When Nature Calls (1995),Comedy,75,2.6430881023406982
20,Money Train (1995),Action,75,2.935582399368286
21,Get Shorty (1995),Action|Comedy|Drama,75,3.446519136428833
22,Copycat (1995),Crime|Drama|Thriller,75,3.3593883514404297
23,Assassins (1995),Thriller,75,2.928015947341919
24,Powder (1995),Drama|Sci-Fi,75,3.072702169418335
25,Leaving Las Vegas (1995),Drama|Romance,75,3.611515760421753
26,Othello (1995),Drama,75,3.574265241622925
27,Now and Then (1995),Drama,75,3.3535397052764893
28,Persuasion (1995),Romance,75,4.0294084548950195
29,"City of Lost Children, The (1995)",Adventure|Sci-Fi,75,4.042931079864502
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,75,3.6106793880462646
31,Dangerous Minds (1995),Drama,75,3.366889715194702
32,Twelve Monkeys (1995),Drama|Sci-Fi,75,3.9188361167907715
33,Wings of Courage (1995),Adventure|Romance,75,3.540628671646118
34,Babe (1995),Children's|Comedy|Drama,75,3.931696653366089
35,Carrington (1995),Drama|Romance,75,3.4902307987213135
36,Dead Man Walking (1995),Drama,75,3.861582040786743
37,Across the Sea of Time (1995),Documentary,75,3.004455327987671
38,It Takes Two (1995),Comedy,75,3.304487705230713
39,Clueless (1995),Comedy|Romance,75,3.832636594772339
40,"Cry, the Beloved Country (1995)",Drama,75,3.8504278659820557
41,Richard III (1995),Drama|War,75,4.116870880126953
42,Dead Presidents (1995),Action|Crime|Drama,75,3.1593072414398193
43,Restoration (1995),Drama,75,3.497476816177368
44,Mortal Kombat (1995),Action|Adventure,75,2.8454854488372803
45,To Die For (1995),Comedy|Drama,75,3.4918763637542725
46,How to Make an American Quilt (1995),Drama|Romance,75,2.962069272994995
47,Seven (Se7en) (1995),Crime|Thriller,75,4.083199977874756
48,Pocahontas (1995),Animation|Children's|Musical|Romance,75,2.9303064346313477
49,When Night Is Falling (1995),Drama|Romance,75,3.6748464107513428
50,"Usual Suspects, The (1995)",Crime|Thriller,75,4.540826320648193
52,Mighty Aphrodite (1995),Comedy,75,3.7115447521209717
53,Lamerica (1994),Drama,74,3.8609731197357178
54,"Big Green, The (1995)",Children's|Comedy,75,2.9039242267608643
55,Georgia (1995),Drama,75,3.0873420238494873
56,Kids of the Round Table (1995),Adventure|Children's|Fantasy,75,3.289799928665161
57,Home for the Holidays (1995),Drama,75,3.602193593978882
58,"Postino, Il (The Postman) (1994)",Drama|Romance,74,4.115108966827393
59,"Confessional, The (Le Confessionnal) (1995)",Drama|Mystery,75,3.206908941268921
60,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy,75,3.4195139408111572
61,Eye for an Eye (1996),Drama|Thriller,76,3.270378351211548
62,Mr. Holland's Opus (1995),Drama,75,3.4726669788360596
